key	es	en	pt	fr	de	it	ja	ko	zh	ru	ar
pm.power	Apagar	Power Off	Desligar	Éteindre	Ausschalten	Spegni	電源オフ	전원 끄기	关机	Выключить	إيقاف التشغيل
pm.reboot	Reiniciar	Reboot	Reiniciar	Redémarrer	Neustarten	Riavvia	再起動	재시작	重启	Перезагрузка	إعادة التشغيل
pm.lock	Bloquear	Lock	Bloquear	Verrouiller	Sperren	Blocca	ロック	잠금	锁定	Блокировка	قفل
pm.suspend	Suspender	Suspend	Suspender	Veille	Anhalten	Sospendi	サスペンド	절전 모드	挂起	Сон	إيقاف مؤقت
pm.logout	Cerrar sesión	Log Out	Sair	Déconnexion	Abmelden	Esci	ログアウト	로그아웃	退出登录	Выйти	تسجيل الخروج
pm.hibernate	Hibernar	Hibernate	Hibernar	Hiberner	Ruhezustand	Ibernazione	休止状態	최대 절전	休眠	Гибернация	إسبات
pm.confirm_power	¿Apagar el sistema?	Power off the system?	Desligar o sistema?	Éteindre le système ?	System ausschalten?	Spegnere il sistema?	システムをシャットダウンしますか？	시스템을 종료할까요?	关闭系统？	Выключить систему?	إيقاف تشغيل النظام؟
pm.confirm_reboot	¿Reiniciar el sistema?	Reboot the system?	Reiniciar o sistema?	Redémarrer le système ?	System neu starten?	Riavviare il sistema?	システムを再起動しますか？	시스템을 재시작할까요?	重启系统？	Перезагрузить систему?	إعادة تشغيل النظام؟
pm.confirm_logout	¿Cerrar sesión?	Log out?	Sair da sessão?	Se déconnecter ?	Abmelden?	Uscire dalla sessione?	ログアウトしますか？	로그아웃할까요?	退出登录？	Выйти из сеанса?	تسجيل الخروج؟
pm.confirm_hibernate	¿Hibernar el sistema?	Hibernate the system?	Hibernar o sistema?	Hiberner le système ?	System in den Ruhezustand versetzen?	Ibernare il sistema?	システムを休止状態にしますか？	시스템을 최대 절전 모드로 전환할까요?	系统休眠？	Перевести систему в режим гибернации?	إسبات النظام؟
pm.yes	Si	Yes	Sim	Oui	Ja	Sì	はい	예	是	Да	نعم
pm.no	No	No	Não	Non	Nein	No	いいえ	아니요	否	Нет	لا
wifi.scan	Escanear	Rescan	Escanear	Scanner	Neu scannen	Scansiona	再スキャン	다시 스캔	重新扫描	Сканировать	فحص
wifi.nonetworks	Sin redes disponibles	No networks available	Sem redes disponíveis	Aucun réseau disponible	Keine Netzwerke verfügbar	Nessuna rete disponibile	利用可能なネットワークがありません	사용 가능한 네트워크가 없습니다	没有可用网络	Нет доступных сетей	لا توجد شبكات متاحة
wifi.forget	Olvidar red...	Forget network...	Esquecer rede...	Oublier le réseau...	Netzwerk vergessen...	Dimentica rete...	ネットワークを忘れる...	네트워크 잊기...	忘记网络...	Забыть сеть...	نسيان الشبكة...
wifi.close	Cerrar	Close	Fechar	Fermer	Schließen	Chiudi	閉じる	닫기	关闭	Закрыть	إغلاق
wifi.back	Volver	Back	Voltar	Retour	Zurück	Indietro	戻る	뒤로	返回	Назад	رجوع
wifi.nosaved	No hay redes guardadas	No saved networks	Sem redes guardadas	Aucun réseau enregistré	Keine gespeicherten Netzwerke	Nessuna rete salvata	保存されたネットワークがありません	저장된 네트워크가 없습니다	没有已保存的网络	Нет сохранённых сетей	لا توجد شبكات محفوظة
wifi.confirm_disconnect	Desconectar %s?	Disconnect %s?	Desconectar %s?	Déconnecter %s ?	%s trennen?	Disconnetti %s?	%s から切断しますか？	%s 연결을 끊을까요?	断开 %s？	Отключить %s?	قطع اتصال %s؟
wifi.confirm_forget	Olvidar %s?	Forget %s?	Esquecer %s?	Oublier %s ?	%s vergessen?	Dimenticare %s?	%s を忘れますか？	%s를 잊을까요?	忘记 %s？	Забыть %s?	نسيان %s؟
wifi.notif_title	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi
wifi.forgotten	Red olvidada: %s	Network forgotten: %s	Rede esquecida: %s	Réseau oublié : %s	Netzwerk vergessen: %s	Rete dimenticata: %s	%s を忘れました	%s 네트워크를 잊었습니다	已忘记网络：%s	Сеть забыта: %s	تم نسيان الشبكة: %s
wifi.connecting	Conectando a %s...	Connecting to %s...	Conectando a %s...	Connexion à %s...	Verbinde mit %s...	Connessione a %s...	%s に接続中...	%s에 연결 중...	正在连接 %s...	Подключение к %s...	الاتصال بـ %s...
wifi.connected	Conectado a %s	Connected to %s	Conectado a %s	Connecté à %s	Verbunden mit %s	Connesso a %s	%s に接続しました	%s에 연결됨	已连接到 %s	Подключено к %s	متصل بـ %s
wifi.error	Error al conectar a %s	Failed to connect to %s	Erro ao conectar a %s	Échec de la connexion à %s	Verbindung zu %s fehlgeschlagen	Errore di connessione a %s	%s への接続に失敗しました	%s에 연결하지 못했습니다	连接到 %s 失败	Не удалось подключиться к %s	فشل الاتصال بـ %s
wifi.show_password	Alt+1  mostrar / ocultar contraseña	Alt+1  show / hide password	Alt+1  mostrar / ocultar senha	Alt+1  afficher / masquer le mot de passe	Alt+1  Passwort anzeigen / ausblenden	Alt+1  mostra / nascondi password	Alt+1  パスワードを表示 / 非表示	Alt+1  비밀번호 표시 / 숨기기	Alt+1  显示 / 隐藏密码	Alt+1  показать / скрыть пароль	Alt+1  إظهار / إخفاء كلمة المرور
menu.hotkeys	Atajos	Hotkeys	Atalhos	Raccourcis	Tastenkürzel	Scorciatoie	ショートカット	단축키	快捷键	Горячие клавиши	اختصارات
menu.manual	Manual	Manual	Manual	Manuel	Handbuch	Manuale	マニュアル	매뉴얼	手册	Справка	الدليل
